epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,0.017586798650833364,0.03517359897507605,0.011548692571916075,0.02309738514383215
1,0.009793629899833579,0.01958725979966716,0.008845667796232337,0.01769133559246468
2,0.008051680233379944,0.01610336046675989,0.007759038753569035,0.015518077507138073
3,0.007067034418967632,0.014134068837935266,0.006718260997855505,0.013436521995711012
4,0.006305405716729025,0.012610811433458052,0.006296939031079797,0.012593878062159596
5,0.005744189990307858,0.011488379980615715,0.005639367352533163,0.011278734705066325
6,0.005240834191336495,0.01048166838267299,0.005149945775898106,0.010299891551796211
7,0.004828437500599263,0.009656875001198526,0.004796593499328401,0.0095931869986568
8,0.004440918022923298,0.008881836045846596,0.004369401885739804,0.008738803771479606
9,0.004112264967630872,0.008224529935261743,0.004172653095457711,0.008345306190915421
10,0.0038376342295568743,0.007675268459113751,0.0038364707416195317,0.007672941483239063
11,0.0035745595355257433,0.007149119071051485,0.00358824394610752,0.00717648789221504
12,0.0033832419066874265,0.00676648381337485,0.003573314956362384,0.007146629912724768
13,0.003203843379167574,0.006407686758335148,0.003243105616340193,0.006486211232680387
14,0.0030414320640539676,0.006082864128107934,0.0030431813724170875,0.006086362744834173
15,0.002885680802087841,0.005771361604175683,0.0028473408581690314,0.0056946817163380644
16,0.0027543506054450288,0.005508701210890059,0.002760284180302604,0.005520568360605207
17,0.0026248057573219183,0.0052496115146438375,0.0026106898477268855,0.00522137969545377
18,0.002491906171317451,0.004983812342634902,0.00254067568669289,0.005081351373385779
19,0.0023792670839751125,0.004758534167950226,0.0023593804141989693,0.004718760828397939
20,0.0022810690416420537,0.004562138083284107,0.002424808867850331,0.004849617735700662
21,0.002170956140646537,0.004341912281293074,0.0021839616399226282,0.0043679232798452565
22,0.002076449987140771,0.0041528999742815416,0.0021048108408907263,0.004209621681781453
23,0.002004965933811599,0.004009931867623198,0.0020508890768612797,0.004101778153722558
24,0.0019108622859780192,0.0038217245719560384,0.0019032188605013476,0.0038064377210026957
25,0.0018548840044187846,0.0037097680088375687,0.001873102572978874,0.003746205145957747
26,0.0017910404155148418,0.0035820808310296835,0.0018688471542576426,0.0037376943085152847
27,0.001719254963638555,0.00343850992727711,0.001699942410163569,0.003399884820327139
28,0.00166675235658398,0.0033335047131679597,0.0017079017630793562,0.0034158035261587123
29,0.0016060371957692283,0.0032120743915384563,0.0015798749310196394,0.0031597498620392793
